Vins
Pates
Huiles et vinaigres
produits detergents
Boissons vegetales
Conserves de poisson
Saucisses
Mouchoirs
Charcuterie
Alcools
Sodas
produits machine a laver
eaux aromatises
cafe
Conserves de legumes
compotes
yaourts 
insecticide
Boulangerie Brioches 
Couches
chocolats
Semoules
Farines
Nourriture pour animal
Gel nettoyant
Eau
Conserves de viandes
Soin du visage
Laits bebe
Volaille non prep
Lingettes
Epices et condiments bouillons
sexe (lubrifiant + preservatif)
Aliments bebe
viandes hachees
Cosmetiques (Maquillage)
Conserves de fruits
Plats prepares
Autres matieres grasses
Lentilles
desserts
Essuie tout
Traiteur mer
Deodorants 
Aerosols
fromages blancs
emballage
Soin des cheveux
Fumaison poisson
Decoration
chicorees
Beurres
Fruits secs
Boulangerie biscuits
Riz
produits lave vaiselle
Cremes
Soin
CD
Sacs poubelles
Demaquillant
Ble
Bieres
frites et assimiles
glaces
pains brioches  biscuits  gateaux
Linge de maison
Fecules
Protections hygeniques
Volaille prep
Cereales
Laits 
Legumes
patisseries
the
Ustensile 
Jus de fruits
soupes
Hygiene dentaire
eponge
Oeufs
savon
hygiene corporelle
tartinables
Textile
Mobilier jardin
Livre
sauces
succedanes de viande
Litiere
snacking
combustibles
pharmaceutique pour bebe
Biscuiterie
Rasage
Fromages
pharmaceutique
PQ
Vaisselle
Fourniture
confiseries
Crustaces 
brosse a cheveux
Parfum
Fruits
Accessoire
Electromenager
autre multimedia
serpilleres
Outils de jardinage
Boulangerie gateaux
Hygiene
