Segment Code;Segment Description;Family Code;Family Description;Class Code;Class Description;Brick Code;Brick Description;;;;;;;;
53000000;Beauté/Soin Personnel/Hygiène;53160000;Produits Cosmétiques/Parfums;53161500;Aromathérapie;10000774;Assortiment de Produits Aromathérapeutiques;;;;;;;;
53000000;Beauté/Soin Personnel/Hygiène;53160000;Produits Cosmétiques/Parfums;53161500;Aromathérapie;10000779;Autres Produits Aromathérapeutiques;;;;;;;;
53000000;Beauté/Soin Personnel/Hygiène;53160000;Produits Cosmétiques/Parfums;53161500;Aromathérapie;10000772;Coussins ou Compresses Aromathérapeutiques;;;;;;;;
53000000;Beauté/Soin Personnel/Hygiène;53160000;Produits Cosmétiques/Parfums;53161500;Aromathérapie;10000770;Diffuseurs d'Huiles (Électriques);;;;;;;;
53000000;Beauté/Soin Personnel/Hygiène;53160000;Produits Cosmétiques/Parfums;53161500;Aromathérapie;10000769;Diffuseurs d'Huiles (Non Electriques);;;;;;;;
53000000;Beauté/Soin Personnel/Hygiène;53160000;Produits Cosmétiques/Parfums;53161500;Aromathérapie;10000771;Huiles Essentielles;;;;;;;;
53000000;Beauté/Soin Personnel/Hygiène;53160000;Produits Cosmétiques/Parfums;53161500;Aromathérapie;10000773;Huiles Support/de Base;;;;;;;;
53000000;Beauté/Soin Personnel/Hygiène;53160000;Produits Cosmétiques/Parfums;53161400;Assortiments de Produits Cosmétiques/Parfums;10000672;Assortiments de Produits Cosmétiques/Parfums;;;;;;;;
53000000;Beauté/Soin Personnel/Hygiène;53160000;Produits Cosmétiques/Parfums;53161300;Parfums;10000365;Parfums;;;;;;;;
53000000;Beauté/Soin Personnel/Hygiène;53160000;Produits Cosmétiques/Parfums;53161000;Produits Cosmétiques;10000377;Accessoires/Outils de Cosmétique;;;;;;;;
53000000;Beauté/Soin Personnel/Hygiène;53160000;Produits Cosmétiques/Parfums;53161000;Produits Cosmétiques;10008024;Applicateurs Cosmétiques;;;;;;;;
53000000;Beauté/Soin Personnel/Hygiène;53160000;Produits Cosmétiques/Parfums;53161000;Produits Cosmétiques;10000669;Assortiments de Produits Cosmétiques;;;;;;;;
53000000;Beauté/Soin Personnel/Hygiène;53160000;Produits Cosmétiques/Parfums;53161000;Produits Cosmétiques;10000775;Autres Produits Cosmétiques;;;;;;;;
53000000;Beauté/Soin Personnel/Hygiène;53160000;Produits Cosmétiques/Parfums;53161000;Produits Cosmétiques;10000764;Cils – Faux;;;;;;;;
53000000;Beauté/Soin Personnel/Hygiène;53160000;Produits Cosmétiques/Parfums;53161000;Produits Cosmétiques;10000761;Glitters et Autres Cosmétiques à Effet de Brillance/Luisance;;;;;;;;
53000000;Beauté/Soin Personnel/Hygiène;53160000;Produits Cosmétiques/Parfums;53161000;Produits Cosmétiques;10006201;Présentoires de Test (Cosmétiques);;;;;;;;
53000000;Beauté/Soin Personnel/Hygiène;53160000;Produits Cosmétiques/Parfums;53161000;Produits Cosmétiques;10000534;Produits Cosmétiques – Lèvres;;;;;;;;
53000000;Beauté/Soin Personnel/Hygiène;53160000;Produits Cosmétiques/Parfums;53161000;Produits Cosmétiques;10000532;Produits Cosmétiques – Teint;;;;;;;;
53000000;Beauté/Soin Personnel/Hygiène;53160000;Produits Cosmétiques/Parfums;53161000;Produits Cosmétiques;10000533;Produits Cosmétiques – Yeux;;;;;;;;
53000000;Beauté/Soin Personnel/Hygiène;53160000;Produits Cosmétiques/Parfums;53161000;Produits Cosmétiques;10000486;Produits Eclaircissants pour la Peau;;;;;;;;
53000000;Beauté/Soin Personnel/Hygiène;53160000;Produits Cosmétiques/Parfums;53161000;Produits Cosmétiques;10000762;Rehausseurs de Poitrine/des Hanches;;;;;;;;
53000000;Beauté/Soin Personnel/Hygiène;53160000;Produits Cosmétiques/Parfums;53161000;Produits Cosmétiques;10000763;Tatouages/Pochoirs/Bijoux Adhésifs – Temporaires;;;;;;;;
53000000;Beauté/Soin Personnel/Hygiène;53160000;Produits Cosmétiques/Parfums;53161200;Produits de Soin/Cosmétiques pour les Ongles;10000671;Assortiments de Produits de Soin/Cosmétiques pour les Ongles;;;;;;;;
53000000;Beauté/Soin Personnel/Hygiène;53160000;Produits Cosmétiques/Parfums;53161200;Produits de Soin/Cosmétiques pour les Ongles;10000778;Autres Produits de Soin/Cosmétiques pour les Ongles;;;;;;;;
53000000;Beauté/Soin Personnel/Hygiène;53160000;Produits Cosmétiques/Parfums;53161200;Produits de Soin/Cosmétiques pour les Ongles;10000767;Ongles – Accessoires (Électriques);;;;;;;;
53000000;Beauté/Soin Personnel/Hygiène;53160000;Produits Cosmétiques/Parfums;53161200;Produits de Soin/Cosmétiques pour les Ongles;10000385;Ongles – Accessoires (Non électriques);;;;;;;;
53000000;Beauté/Soin Personnel/Hygiène;53160000;Produits Cosmétiques/Parfums;53161200;Produits de Soin/Cosmétiques pour les Ongles;10000359;Ongles – Faux;;;;;;;;
53000000;Beauté/Soin Personnel/Hygiène;53160000;Produits Cosmétiques/Parfums;53161200;Produits de Soin/Cosmétiques pour les Ongles;10000333;Ongles – Nettoyants/Dissolvants;;;;;;;;
53000000;Beauté/Soin Personnel/Hygiène;53160000;Produits Cosmétiques/Parfums;53161200;Produits de Soin/Cosmétiques pour les Ongles;10000780;Ongles – Outils (Électriques);;;;;;;;
53000000;Beauté/Soin Personnel/Hygiène;53160000;Produits Cosmétiques/Parfums;53161200;Produits de Soin/Cosmétiques pour les Ongles;10000358;Ongles – Outils (Non Electriques);;;;;;;;
53000000;Beauté/Soin Personnel/Hygiène;53160000;Produits Cosmétiques/Parfums;53161200;Produits de Soin/Cosmétiques pour les Ongles;10000361;Ongles – Traitement;;;;;;;;
53000000;Beauté/Soin Personnel/Hygiène;53160000;Produits Cosmétiques/Parfums;53161200;Produits de Soin/Cosmétiques pour les Ongles;10000360;Produits Cosmétiques – Ongles;;;;;;;;
53000000;Beauté/Soin Personnel/Hygiène;53160000;Produits Cosmétiques/Parfums;53161200;Produits de Soin/Cosmétiques pour les Ongles;10000768;Produits de Soin/Cosmétiques pour les Ongles – Pièces de Rechange;;;;;;;;
53000000;Beauté/Soin Personnel/Hygiène;53180000;Produits d'Hygiène Personnelle;53181600;Assortiments de Produits pour l'Hygiène Personnelle;10000712;Assortiments de Produits pour l'Hygiène Personnelle;;;;;;;;
53000000;Beauté/Soin Personnel/Hygiène;53180000;Produits d'Hygiène Personnelle;53181700;Couches pour bébé / Accessoires;10000496;Accessoires Pour les Couches Pour Bébé;;;;;;;;
53000000;Beauté/Soin Personnel/Hygiène;53180000;Produits d'Hygiène Personnelle;53181700;Couches pour bébé / Accessoires;10006822;Assortiments Couches Bébé/Accessoires;;;;;;;;
53000000;Beauté/Soin Personnel/Hygiène;53180000;Produits d'Hygiène Personnelle;53181700;Couches pour bébé / Accessoires;10000494;Couches pour Bébé (Jetables);;;;;;;;
53000000;Beauté/Soin Personnel/Hygiène;53180000;Produits d'Hygiène Personnelle;53181700;Couches pour bébé / Accessoires;10000728;Couches pour bébé (Non Jetables);;;;;;;;
53000000;Beauté/Soin Personnel/Hygiène;53180000;Produits d'Hygiène Personnelle;53181700;Couches pour bébé / Accessoires;10006821;Couches Pour Bébé/Autres Accessoires;;;;;;;;
53000000;Beauté/Soin Personnel/Hygiène;53180000;Produits d'Hygiène Personnelle;53181700;Couches pour bébé / Accessoires;10000495;Inserts/Protège Couche Pour Bébé;;;;;;;;
53000000;Beauté/Soin Personnel/Hygiène;53180000;Produits d'Hygiène Personnelle;53181500;Hygiène Buccale;10000716;Assortiments de Produits pour l'Hygiène Buccale;;;;;;;;
53000000;Beauté/Soin Personnel/Hygiène;53180000;Produits d'Hygiène Personnelle;53181500;Hygiène Buccale;10000783;Autres Produits pour l'Hygiène Buccale;;;;;;;;
53000000;Beauté/Soin Personnel/Hygiène;53180000;Produits d'Hygiène Personnelle;53181500;Hygiène Buccale;10000383;Nettoyage Dentaire;;;;;;;;
53000000;Beauté/Soin Personnel/Hygiène;53180000;Produits d'Hygiène Personnelle;53181500;Hygiène Buccale;10000782;Produits pour l'Hygiène Buccale – Pièces de Rechange;;;;;;;;
