<ID>;<Name>;ATPD_PICT_EUROFEUILLE;ATPD_PICT_AB_AGRI_BIO;photo_id;media_url
P02000000000JLO;BABYBIO LAIT CHEVRE CAPREA 2800G DES 6 MOIS;Oui;Oui;MEDIASTEP132226095;https://media.auchan.fr/MEDIASTEP132226095_0x0/
P02000000000JLU;BABYBIO LAIT PRIMEA 3 800G10 MOIS;Oui;Oui;MEDIASTEP132854782;https://media.auchan.fr/MEDIASTEP132854782_0x0/
P02000000000JLR;BABYBIO LAIT OPTIMA 2 800G6 MOIS;Oui;Oui;MEDIASTEP132854769;https://media.auchan.fr/MEDIASTEP132854769_0x0/
P02000000000JLW;BABYBIO LAIT PRIMEA 2 800G6 MOIS;Oui;Oui;MEDIASTEP132855183;https://media.auchan.fr/MEDIASTEP132855183_0x0/
P02000000000JLY;BABYBIO LAIT PRIMEA 1 800G0/6 MOIS;Oui;Oui;MEDIASTEP136363417;https://media.auchan.fr/MEDIASTEP136363417_0x0/
P02000000000MMZ;BIO HIPP LAIT 3 CROISSANCE700G;Oui;Oui;MEDIASTEP133375073;https://media.auchan.fr/MEDIASTEP133375073_0x0/
P02000000000ND8;HIPP BIO LAIT 2 COMBIOTIC 800GFORMULE EPAISSE;;Oui;MEDIASTEP85570059;https://media.auchan.fr/MEDIASTEP85570059_0x0/
P02000000000NKF;HIPP COMBIOTIC LAIT 2 800G6/12 MOIS;Oui;Oui;MEDIASTEP84801127;https://media.auchan.fr/MEDIASTEP84801127_0x0/
P02000000000NKB;HIPP COMBIOTIC LAIT 1 800GNOURRISSONS;Oui;Oui;MEDIASTEP84801126;https://media.auchan.fr/MEDIASTEP84801126_0x0/
P02000000000NK4;BIO HIPP LAIT 2 700G 6/12 MOIS;Oui;Oui;MEDIASTEP84801124;https://media.auchan.fr/MEDIASTEP84801124_0x0/
P02000000000NKM;HIPP COMBIOTIC LAIT 3 800GCROISSANCE;Oui;Oui;MEDIASTEP138879897;https://media.auchan.fr/MEDIASTEP138879897_0x0/
P02000000000NKV;HIPP COMBIOTIC LAIT 1 800GFORMULE EPAISSIE;Oui;Oui;MEDIASTEP85570058;https://media.auchan.fr/MEDIASTEP85570058_0x0/
