"<ID>";"ATPD_00101";"GTIN achat";"ATPDA_72101260";"ATPD_200133"
"AUCH_ACHA_105839782";"A0220170629000031866";"3428420002898";"";"Entremets glacé composé de boules de crème glacée saveur crème brûlée entourées d'éclats de noisettes et d'amandes caramélisées, déposées sur une crème glacée caramel au beurre, salé et un biscuit noisette, d'une crème chantilly en décor"
"AUCH_ACHA_105839794";"A0220170630000032168";"3760197635702";"";"Assortiment de petits fours surgelés, crus à cuire"
"AUCH_ACHA_105839886";"A0220170619000023903";"3512690004222";"";"BURGER DE POULET GOUT ROTI 640G"
"AUCH_ACHA_105839999";"A0220170609000013551";"3596710456239";"";"Bûche glacée avec glace au chocolat 34.6%, crème glacée à la vanille 30.9%, glace à la vanille 24%, sauce chocolat 7.5%, amandes caramélisées 2,1%, copeaux de chocolat noir 0.5%, plaquette de chocolat blanc 0.4%, surgelée."
"AUCH_ACHA_105840068";"A0220170602000010027";"3596710450367";"";"Assortiment de viennoiseries, au beurre et au chocolat ; Prêt à cuire - Surgelé"
"AUCH_ACHA_105840234";"A0220161223000343295";"3596710449422";"";"Légumes, pâtes tagliatelles et noix de Saint Jacques* sauce pesto (16%), surgelés  Les lettres en fin de numéro de lot indiquent l’espèce et l’origine de la noix de St Jacques utilisée dans la recette: *Zygochlamys patagonica, origine Argentine (ZA) ou Uruguay (ZU), et/ou Chlamys opercularis, origine Angleterre (CA), France (CF), Ecosse (CE) ou Irlande (CI), et/ou Argopecten purpuratus, origine Chili (AC) ou Pérou (AP)"
"AUCH_ACHA_105840245";"A0220161108000300259";"8714100691496";"";"Glace au chocolat au lait (dont 3% de chocolat au lait) enrobée de chocolat noir (30%)."
"AUCH_ACHA_105840244";"A0220161108000300265";"8714100684719";"";"Glace à la framboise, enrobage au cacao maigre (8%), sauce à la framboise avec arôme naturel (19%) et second enrobage de chocolat au lait (24%)."
"AUCH_ACHA_105840148";"A0220170202000378323";"8712100864964";"";"Glace menthe enrobée de chocolat au lait (29%) et de morceaux de sucre caramélisé (2,5%)."
"AUCH_ACHA_105840227";"A0220161202000320036";"8710438105735";"";"ORIGINAL BUN'S  BURGER "
"AUCH_ACHA_105840769";"A0220160331000031909";"7613035096486";"";"Pizza surgelée"
"AUCH_ACHA_105840861";"A0220151215000017301";"8712100874963";"";"Glace vanille à l’arôme naturel de vanille de Madagascar enrobée de chocolat au lait (28%) et d’amandes (5%)."
"AUCH_ACHA_105840432";"A0220160629000044410";"3596710441983";"";"Pizza garnie de mozzarella, jambon cuit, edam et olives noires, surgelée."
"AUCH_ACHA_105840534";"A0220160526000038068";"3599741003236";"";"Churros à base de purée de pommes de terre, préfrits, surgelés."
"AUCH_ACHA_105840615";"A0220160513000036763";"3261080922539";"";"12 Escargots de Bourgogne Label Rouge à la bourguignonne, préparés au beurre extra fin, surgelés"
"AUCH_ACHA_105840806";"A0220160115000021710";"3599741001904";"";"Galettes de pommes de terre râpées, surgelées."
"AUCH_ACHA_105840809";"A0220160115000021729";"3599741001898";"Marine Stewardship Council";"4 portions de filets de CABILLAUD (Gadus morhua), pêché au chalut, lignes et hameçons en océan Atlantique Nord-Est (mer de Barents et mers de Norvège), surgelées. "
"AUCH_ACHA_105840855";"A0220151215000017259";"8712100849084";"";"Ice cream with vanilla from Madagascar, coated in a fat reduced cocoa coating (8%), caramel sauce (19%) and milk chocolate (24%)."
"AUCH_ACHA_105840862";"A0220151215000017273";"8712100845123";"";"Glace au chocolat (dont 6% de chocolat au lait), enrobage au cacao maigre (8%), sauce au chocolat (19%) et second enrobage de chocolat au lait (24%)."
"AUCH_ACHA_105840555";"A0220160525000037934";"3181232519731";"Viande de Bœuf Français;Point vert";"Préparation surgelée à base de pain spécial, de préparation cuite de viande hachée de boeuf de race Charolaise, de fromage fondu et de sauce à la moutarde et moutarde à l'ancienne."
"AUCH_ACHA_105840765";"A0220160427000019146";"3596710439713";"";"Cône de glace au caramel beurre salé, aromatisée 35.2% (dont 1.7% de caramel au beurre salé), glace à la vanille 35.2%, gaufrette 16,2%, chemisage au cacao maigre 7,8%, décor sauce saveur caramel 4.2% (dont 1.1% de caramel aromatique) et morceaux de noisettes caramélisées 1.4%, surgelé."
"AUCH_ACHA_105840827";"A0220151229000019380";"5000159436489";"";"MARS glace nappée de caramel, enrobage cacao - 7 barres 357ml"
"AUCH_ACHA_105841619";"A0220150609000809160";"3274661097540";"";"Glace macaron (46.2%), sorbet à la framboise (23.7%), sorbet au cassis (23.7), sauce aux fruits rouges (5.5%), décors : confiseries colorées en rose, goût fraise (0.5%) et plaquette en chocolat blanc (0.4%)."
"AUCH_ACHA_105841877";"A0220150123000803124";"8008698006658";"";"Petits Pains - Kaisersemmel 350g"
"AUCH_ACHA_105842162";"A0220140603000792777";"3596710413034";"";"Mélange de riz, de légumes, de poulet, de fruits de mer et de poisson, surgelé"
"AUCH_ACHA_105842715";"A0220140103000301069";"3596710402595";"";"Non"
"AUCH_ACHA_105842151";"A0220140707000795510";"3760039986375";"";"Dessert glacé composé d'une crème glacée Vanille infusion gousses entières et d'une crème glacée Caramel beurre salé"
"AUCH_ACHA_105842191";"A0220140204000658420";"3760197630127";"";"Assortiment de 24 petites tartelettes précuites surgelées pour apéritif, déclinées en 4 variétés : Tomates - Poivrons rouges, Lorraine, Tapenade, Saumon - Ciboulette."
"AUCH_ACHA_105842580";"A0220140107000324035";"8722700054375";"";"Glace à la fraise² avec une sauce à la fraise² (11%), enrobée de chocolat blanc (25%). ²aromatisée."
"AUCH_ACHA_105841525";"A0220150616000809860";"3181232519670";"Viande de Bœuf Français;Point vert";"Préparation surgelée à base de pain spécial, de préparation cuite de viande hachée de boeuf, d'emmental français, de sauce goût tartiflette et de bacon."
"AUCH_ACHA_105842096";"A0220140717000796168";"3596710414499";"";"Assortiment de 30 mini feuilletés garnis. Surgelés."
"AUCH_ACHA_105842110";"A0220140723000796449";"3248830724971";"";"PAELLA ROYALE AUX PETITES GAMBAS MARIE 900G"
"AUCH_ACHA_105842173";"A0220140428000791352";"3599740008140";"";"18 bâtonnets de chair hachée de CABILLAUD (Gadus morhua) pêché en Atlantique Nord-Est (mer de Barents et mers de Norvège), panés, préfrits, surgelés."
"AUCH_ACHA_105842200";"A0220140210000658687";"3700068144308";"";"SARDINE ENTIERE PORTUGAISE GELUS"
"AUCH_ACHA_105842772";"A0220130902000656246";"3596710391158";"";"Ail coupé, surgelé"
"AUCH_ACHA_105843285";"A0220120202000010282";"3248830720188";"";"RISOTTO AUX CHAMPIGNONS ET POULET A LA CRÈME MARIE 900G"
"AUCH_ACHA_105843319";"A0220120106000046067";"8712566328444";"";"Glace vanille à l'arôme naturel de vanille de Madagascar enrobée de chocolat blanc (28%)."
"AUCH_ACHA_105843440";"A0220111114000019206";"3596710371617";"";"6 pains au chocolat pur beurre prêts à cuire surgelés"
"AUCH_ACHA_105843465";"A0220120105000045190";"3596710375752";"";"Galettes de pommes de terre préfrites surgelées"
"AUCH_ACHA_105843495";"A0220110906000016446";"3464012000200";"";"TARTE FLAMBEE SURGELEE AUX CHAMPIGNONS 2x260gr"
"AUCH_ACHA_105843526";"A0220110825000328302";"3512690000163";"";"ID STEACK 100% BOEUF 800G"
"AUCH_ACHA_105842719";"A0220131224000242887";"8712100482199";"";"Crème glacée vanille avec une sauce caramel au beurre salé aromatisée (16%) et des éclats de noix de pécan caramélisées (7%)."
"AUCH_ACHA_105842836";"A0220131125000038213";"3248830723462";"";"Moussaka au bœuf, Aubergines et tomates cuisinées"
"AUCH_ACHA_105842906";"A0220130902000656243";"3596710391172";"";"Persil coupé, surgelé"
"AUCH_ACHA_105843042";"A0220130607000648953";"7613034377104";"";"Mini pizzas surgelées à la tomate et à la mozzarella"
"AUCH_ACHA_105843062";"A0220130322000543246";"3596710390434";"";"Assortiment de 20 glaces à l'eau aromatisées goût cola, goût fraise, goût citron, goût menthe, goût orange - surgelées"
"AUCH_ACHA_105843162";"A0220120724000545215";"3596710385812";"";"Escargots préparés à la Bourguignonne, calibre moyen, surgelés."
"AUCH_ACHA_105843287";"A0220120209000018236";"3596710375585";"";"Préparation à base de pommes de terre, préfrite, surgelée"
"AUCH_ACHA_105842690";"A0220131224000242854";"8712100494376";"Rainforest Alliance;Point vert";"Glace à la fraise² avec une sauce à la fraise² (11%), enrobée de chocolat blanc (25%). ²aromatisée."
"AUCH_ACHA_105842826";"A0220131125000038123";"3248830723431";"";"Hachis Parmentier purée à la crème fraîche"
"AUCH_ACHA_105843012";"A0220130614000650666";"3596710388783";"";"Tarte au citron meringuée, pâte sablée pur beurre, surgelée"
"AUCH_ACHA_105843069";"A0220130611000649581";"3083681032345";"";"Pois doux surgelés"
"AUCH_ACHA_105843078";"A0220130118000641403";"3596710385386";"";"10 Bâtonnets de sorbet aux fruits rouges et pomme, aromatisé, surgelés"
"AUCH_ACHA_105843183";"A0220120620000543162";"7613033950124";"";"Pizza surgelée"
"AUCH_ACHA_105843295";"A0220120209000017561";"3596710387229";"";"Pommes frites préfrites et surgelées"
"AUCH_ACHA_105843539";"A0220110701000376705";"3083681012354";"";"Choux fleurs en petites fleurettes surgelés"
"AUCH_ACHA_105843635";"A0220110705000025152";"3596710367054";"";"Mélange de pâtes, de demi-aiguillettes de poulet rôties, de champignons, accompagné d'une sauce (28.4%), surgelé."
"AUCH_ACHA_105844234";"A0220110107000232783";"3760197630134";"";"Assortiment de mini paniers feuilletés : Asperge verte et viande de poulet cuite / Roquefort fondu, noix et noisette / Saumon et aneth / Oignon, poivron rouge et tomate, surgelés, crus à cuire"
"AUCH_ACHA_105844354";"A0220100301000648813";"4001724819103";"";"Pizza à pâte fine et croustillante richement garnie de tomates, de champignons et de fromage, surgelée"
"AUCH_ACHA_105844377";"A0220100301000648827";"4001724819905";"";"Pizza à pâte fine et croustillante richement garnie de tomates, de poivrons, de préparation de piments doux et d'oignons, surgelée."
"AUCH_ACHA_105844384";"A0220100208000646732";"3181232518642";"Viande de Bœuf Français;Point vert";"Préparation surgelée à base de pain spécial, de préparation cuite à base de viande de boeuf reconstituée grillée avec des protéines végétales, de sauc"
"AUCH_ACHA_105844385";"A0220090731000545607";"3436590010018";"";"Burger de boeuf surgelé halal 20%MG 10x80g"
"AUCH_ACHA_105844409";"A0220090804000016250";"3596710337149";"Eurofeuille";"Purée 3 légumes issue de l'agriculture biologique surgelée Production et Distribution certifiées par FR-BIO-01"
"AUCH_ACHA_105844479";"A0220081111000017904";"3596710337613";"";"2 gâteaux moelleux au chocolat, surgelés"
"AUCH_ACHA_105844492";"A0220080619000646151";"3251513269003";"";"2 bûchettes de glace au chocolat au lait 51.6% et glace au chocolat noir 47.7%, décor chocolat en flocons 0.7%. 2 bûchettes de glace au chocolat blanc 54.6% et glace au chocolat au lait 44.7%, décor chocolat en flocons 0.7%. 2 bûchettes de glace au chocolat noir 56.6% et glace au chocolat lait et noisette 42.7%, décor chocolat en flocons 0.7%."
"AUCH_ACHA_105845112";"A0220070330000218562";"3596710316038";"";"Glace à la menthe 92% avec des copeaux de chocolat noir 8%, surgelée "
"AUCH_ACHA_105845591";"A0219980615000644037";"3254566440375";"";"Cône de glace au chocolat 34,9% et de glace à la pistache 34,9%, gaufrette 17,4%, chemisage et décor au cacao maigre 10,6%, morceaux de noisettes caramélisés 2,2% en décor, surgelé"
"AUCH_ACHA_105845635";"A0220010122000807154";"3596710470709";"";"Lasagnes à la bolognaise surgelées"
"AUCH_ACHA_105845652";"A0220020228000371144";"3596710435418";"Marine Stewardship Council";"Portions de bloc de filets de Colin d'Alaska MSC**, qualité sans arête*, accompagnées de chapelure et oignons, surgelées "
"AUCH_ACHA_105843633";"A0220110701000376159";"3760197630745";"";"Tourte de pâte feuilletée (50%) garnie d'une préparation (50%) à base d'effiloché de viande de canard cuite, de cèpes et Armagnac, crue à cuire, surgelée"
"AUCH_ACHA_105844054";"A0220110429000364670";"3596710363773";"Marine Stewardship Council";"Filets de cabillaud qualité sans arête*, MSC**, meunière, préfrits, surgelés"
"AUCH_ACHA_105844319";"A0220100722000035833";"3248833086700";"";"POULET ROTI POMMES DE TERRE FONDANTES avec du jus et une pointe de persil "
"AUCH_ACHA_105844413";"A0220091027000392861";"3248833084614";"";"Deux portions de filets de Saumon Atlantique Fondue de Poireaux, crème fraîche et estragon"
"AUCH_ACHA_105844418";"A0220090723000543690";"3599740004432";"Marine Stewardship Council";"4 Portions composées de morceaux de filets de CABILLAUD (Gadus morhua)  pêché en océan Atlantique Nord-Est (mer de Barents et mers de Norvège) en forme de filet, panées, préfrites, surgelées."
"AUCH_ACHA_105844431";"A0220090414000048805";"3512690000774";"";"ID ESCALOPINES DE DINDE 500G"
"AUCH_ACHA_105844330";"A0220100226000648765";"4001724818908";"";"Pizza à pâte fine et croustillante richement garnie de 4 variétés de fromage : Mozzarella, Edam, Emmental, Bleu, surgelée."
"AUCH_ACHA_105844387";"A0220090731000545547";"3261080084411";"";"Mélange de fruits de mer, précuits, glacés, surgelés"
"AUCH_ACHA_105844465";"A0220090303000012318";"3596710337071";"Eurofeuille";"Choux Brocolis biologique surgelés Production et Distribution certifiée par FR-BIO-01"
"AUCH_ACHA_105844539";"A0220070914000236765";"3596710320998";"Eurofeuille";"Epinards en branches en portions biologiques, surgelés Production et conditionnement certifiés par:  IT BIO 009. Distribution  certifiée par ECOCERT FR-BIO -01.  "
"AUCH_ACHA_105845128";"A0220070105000034680";"3251512810008";"";"Sorbet multifruits aromatisé."
"AUCH_ACHA_105845168";"A0220060619000015770";"3261080912110";"";"12 Escargots surgelés taille 0, préparés à la bourguignonne, 200g"
"AUCH_ACHA_105845251";"A0220060626000019215";"3599740003183";"";"Pommes de terre coupées, préfrites, surgelées"
"AUCH_ACHA_105845398";"A0220050707000013326";"3596710274567";"";"Mélange cuisiné de légumes, pommes de terre, champignons et lardons fumés, surgelé."
"AUCH_ACHA_105845473";"A0220050623000376328";"3596710274390";"";"Mélange de légumes grillés surgelés"
"AUCH_ACHA_105845511";"A0220050622000375923";"3596710276745";"";"Glace chocolat (42,1%), glace vanille (42%), sauce au chocolat (8,5%), pâte à glacer au cacao maigre (3,9%), pépites de chocolat (2,1%) et nougatine (1,4%), surgelées."
"AUCH_ACHA_105845673";"A0219980309000325999";"3254563259994";"";"Glace au rhum aromatisée 91% avec une préparation de raisins au rhum 9%, surgelée "
"AUCH_ACHA_105845657";"A0220020228000371705";"3596710435456";"Marine Stewardship Council";"Portions de bloc de filets de Colin d'Alaska MSC**, qualité sans arête*, accompagnées de crème fraîche, champignons et crevettes - surgelées"
"AUCH_ACHA_105845663";"A0219980414000366112";"3273310346497";"";"Baguettes alsaciennes, crues, surgelées x 3"
"AUCH_ACHA_105845681";"A0220020228000382552";"3596710435432";"";"Portions de bloc de filets de Colin d'Alaska MSC**, qualité sans arête*, accompagnées d'une sauce aux légumes - surgelées   "
"AUCH_ACHA_105845737";"A0219910315000049951";"3599740000359";"Marine Stewardship Council";"20 Croquettes de chair hachée de poisson et de flocons de pommes de terre, à l'ail et aux fines herbes, panées, préfrites, surgelées"
"AUCH_ACHA_105845776";"A0220001020000041402";"3596710470716";"";"Hachis Parmentier, surgelé"
"AUCH_ACHA_105845862";"A0219881216000033982";"3060730000098";"";"ANETH SURGELEE 12X50G REV NEW"
"AUCH_ACHA_105845074";"A0220070619000035195";"3254560351950";"";"Queues d'écrevisses rouges des marais décortiquées cuites"
"AUCH_ACHA_105845322";"A0220050712000020718";"3596710276240";"";"Profiteroles avec grains de sucre garnies de crème glacée vanille accompagnées de 2 sachets de sauce au chocolat, surgelés "
"AUCH_ACHA_105845569";"A0220040216000027092";"3596710225293";"";"Glace à la vanille 79,7% avec sauce au caramel aromatisée 10,2% et inclusion de morceaux de noix de pécan caramélisées enrobés 2%, sauce au caramel aromatisée 6,1% et morceaux de noix de pécan caramélisées en décor 2%, surgelée "
"AUCH_ACHA_105845602";"A0220021104000792595";"3248833088872";"";"PIZZA MARIE CROUSTI MOELLEUSE ROYALE 3X400 GR"
"AUCH_ACHA_105845654";"A0219990517000544984";"3254565449843";"";"6 petits pots de glace à la vanille et de glace au chocolat au lait, surgelés 6 petits pots de glace à la vanille et de glace à la fraise, surgelés."
"AUCH_ACHA_105845767";"A0219970703000046453";"3596710431762";"";"Julienne de légumes surgelée"
"AUCH_ACHA_105845775";"A0219990609000041799";"3596710464555";"";"Pizza garnie de fruits de mer, édam, thon listao et olives noires, surgelée."
"AUCH_ACHA_105845875";"A0219930929000037821";"3273310346343";"";"Galettes aux pommes de terre, oignons et persil crues, surgelées x10"
"AUCH_ACHA_105845947";"A0219990204000011206";"3254560112063";"";"Brocolis en fleurettes surgelés"
"AUCH_ACHA_105913402";"A0220201026000860144";"3415582300719";"";"Crème glacée à la vanille et crème glacée au chocolat"
"AUCH_ACHA_106017498";"A0220201027000860197";"3760003680018"
"AUCH_ACHA_107919433";"A0220201105000861977";"3274664173364";"";"Gaufrette garnie de glace parfum crème, avec une sauce à la fraise (12%) et des morceaux de noisettes grillées caramélisées (2.5%)"
"AUCH_ACHA_108783643";"A0220201109000862385";"3700320241592";"";"Entremet Glacé : Crème glacée à la Vanille à l'Ancienne et Canistrelli (biscuit sec Corse)"
"AUCH_ACHA_109372582";"A0220201112000862742";"8711327477179";"";"Glace chocolat noisette aromatisée (dont 3% de chocolat), enrobage au cacao maigre (9%), sauce au chocolat aromatisée noisette (16%) et second enrobage de chocolat au lait (25%)."
"AUCH_ACHA_111220081";"A0220201119000864583";"3596710489954"
"AUCH_ACHA_114863507";"A0220201126000865994";"3274664174880";"";"Bâtonnet de glace au caramel, enrobé de chocolat au lait (36%) avec des amandes grillées salées enrobées de graisse végétale de coprah (6%)"
"AUCH_ACHA_125600502";"A0220210108000926097";"3599741006008";"Marine Stewardship Council";"19 à 21 pièces composées de morceaux de filets de Colin d'Alaska (Theragra chalcogramma) pêché en océan Pacifique Nord-Ouest (61-01A, 61-02A) ou Nord-Est (67-01A), enrobées d'une pâte à beignet, préfrites, surgelées. Produit élaboré en Allemagne."
"AUCH_ACHA_125725140";"A0220210113000927015";"3248830001096";"";"Préparation pour gratin dauphinois et lardons"
"AUCH_ACHA_126622348";"A0220210121000928527";"3596710483600";"";"Mélange de poivrons crus en lanières surgelés"
"AUCH_ACHA_129367168";"A0220210211000043441";"3423180100020";"Point vert";"Fruits surgelés - Cassis 1 kilo"
"AUCH_ACHA_131872821";"A0220210302000012797";"3596710489343";"Marine Stewardship Council"
"AUCH_ACHA_132045256";"A0220210303000022865";"3289477020057";"";"CREME GLACEE CARAMEL AU BEURRE SALE "
"AUCH_ACHA_133297542";"A0220210315000944377";"3596710492589";"";"Mélange cuisiné de légumes, pommes de terre et de champignons, surgelé."
"AUCH_ACHA_133297543";"A0220210315000944380";"3596710483617"
"AUCH_ACHA_133318870";"A0220090302000012153";"3596710490769";"";"Petits pois issus de l´agriculture biologique, surgelés, production certifiée par ES-ECO-025-NA et distribution certifiée par FR-BIO-01."
"AUCH_ACHA_133784660";"A0220201214000919768";"3521047120140";"";"Portions de filets de loup de mer sans peau surgelés mer"
"AUCH_ACHA_133791665";"A0220210318000958542";"3770010291602";"";"Sorbet plein fruit fraise 470ML"
"AUCH_ACHA_133791668";"A0220210318000958547";"3770010291596";"";"Sorbet plein fruit framboise 470ML"
"AUCH_ACHA_133791673";"A0220210318000958534";"3770010291626";"";"Crème glacée Chocolat blanc spéculoos 470ML"
"AUCH_ACHA_133791670";"A0220210318000959386";"3770010291589";"";"Sorbet plein fruit mangue passion 470ML"
"AUCH_ACHA_133857194";"A0220210318000960075";"3563350000498"
"AUCH_ACHA_133857199";"A0220210318000959703";"3563350001518"
"AUCH_ACHA_133857224";"A0220210318000959402";"3563350001099"
"AUCH_ACHA_133882877";"A0220170623000026039";"3760122710955";"";"Steaks de Thon Germon surgelés"
"AUCH_ACHA_133882882";"A0220170519000302969";"3254563029696";"";"Gambas géantes sauvages surgelées "
"AUCH_ACHA_133882892";"A0220150323000805977";"5704025026681";"AB Agriculture biologique;Eurofeuille";"Crevette entière crue BIO"
"AUCH_ACHA_133882893";"A0220150409000806534";"3760122710603";"Eurofeuille;bioentreprisedurable";"Pavés de saumon Atlantique bio surgelés x2 250g"
"AUCH_ACHA_133882911";"A0220041216000244804";"3254562448047";"";"Noix de coquilles St jacques avec corail congelées"
"AUCH_ACHA_133882915";"A0220040405000234708";"3254562347081";"";"Pouce cocktail de fruits de mer précuit 400g"
"AUCH_ACHA_136048536";"A0220210413000978727";"3563350020205";"";"Crème glacée réglisse sans colorant"
"AUCH_ACHA_143402029";"A0220210624000809697";"3415580501217";"";"Crème glacée à la vanille avec confiseries aux noix de macadamia caramélisées (10%). "
"AUCH_ACHA_144346734";"A0220190514000044366";"3254560443662";"";"Queues de crevettes ""cocktail"" cuites surgelées 500 g"
"AUCH_ACHA_144356409";"A0220171222000306738";"3596710460359";"";"Bâtonnets de glace à la noisette (43%), enrobage de chocolat au lait (33%) et sauce à la noisette aromatisée (21%) avec morceaux noisettes (3%), surgelés."
"AUCH_ACHA_151791966";"A0220210716000012589";"3428420001945";"";"SORBET FAÇON SMOOTHIE FRAISE BANANE"
"AUCH_ACHA_151791979";"A0220210716000012586";"3428420001952";"";"SORBET FAÇON SMOOTHIE FRAMBOISE CASSIS"
"AUCH_ACHA_105838580";"A0220190214000106659";"3230890028656";"";"Viande de poulet traitée en salaison, panée, cuite et surgelée."
"AUCH_ACHA_105838601";"A0220190214000107201";"3230890003011";"";"Pintade semi-désossée farcie, farce aux morilles, surgelée"
"AUCH_ACHA_133882891";"A0220151224000018997";"3499150335853";"";"Pilons de poulet surgelés"
"AUCH_ACHA_133882923";"A0219980424000379909";"3325096347943";"";"Gigot d'agneau de Nouvelle-Zélande surgelé 1,8kg"
"AUCH_ACHA_133882933";"A0220191008000302523";"8710555036073";"";"FRICADELLES"
"AUCH_ACHA_133882934";"A0220191008000302086";"8710555148752";"";"FRICADELLES BECKERS 5x70gr"
"AUCH_ACHA_104503564";"A0220111011000043537";"3596710366880";"";"Préparation à base de viande de boeuf et de protéines de soja, assaisonnée, cuite, surgelée"
"AUCH_ACHA_105838433";"A0220190408000297605";"3596710476008";"";"Préparation à base de viandes hachées de boeuf et d'agneau, cuite, surgelée"
"AUCH_ACHA_105839042";"A0220180621000652421";"3596710461967";"";"Steaks hachés pur bœuf façon bouchère (origine France, élaborés en France), surgelés"
"AUCH_ACHA_105839553";"A0220180115000341206";"3596710461820";"Eurofeuille";"steak haché de boeuf façon bouchère, biologique, surgelé Certifié par Ecocert FR-BIO-01"
"AUCH_ACHA_105840548";"A0220160525000037930";"3181232519755";"Viande de Bœuf Français;Point vert";"Préparation surgelée à 80 % de viande hachée de boeuf avec des fibres végétales de pois."
"AUCH_ACHA_105844441";"A0220090303000013396";"3181231001374";"Viande de Bœuf Français;Point vert";"Viande hachée surgelée 100 % pur boeuf"
"AUCH_ACHA_105844450";"A0220090303000013382";"3181231003354";"Viande de Bœuf Français;Point vert";"Steak haché surgelé pur boeuf fabriqué à partir de viande de race Charolaise"
"AUCH_ACHA_105845695";"A0219980204000303111";"3559561003397";"Viande de Bœuf Français;Point vert";"Préparation surgelée à 51 % de viande hachée de boeuf avec des protéines végétales de soja."
"AUCH_ACHA_104420963";"P02000000000V2V";"5010103940184";"";"ROE & CO 45° 70CL"
"AUCH_ACHA_104421830";"A0220080310000763635";"3163937012809";"";"Pastis de Marseille"
"AUCH_ACHA_104421833";"A0220070314000710978";"3011932006456";"";"Boisson arômatisée à base de vin"
"AUCH_ACHA_104421916";"A0220170314000063682";"5010494508307";"";"Single malt scotch whisky"
"AUCH_ACHA_104421952";"A0220181128000454610";"3011932000843";"";"Boisson arômatisée à base de vin"
"AUCH_ACHA_104421904";"A0220140704000496774";"5000277000982";"";"Whisky Single Malt 12 Ans d'âge"
"AUCH_ACHA_104421985";"P02000000000R4L";"5011013935192";"";"BAILEYS ORIGINAL 17° 70CL"
"AUCH_ACHA_104422022";"A0220021209000074690";"3011932000829";"";"Boisson arômatisée à base de vin"
"AUCH_ACHA_104811278";"P02000000000M4O";"3107460009233";"";"Rhum ambré ESB Clément Agricole Martinique 40° 70CL"
"AUCH_ACHA_104811032";"A0220170426000742250";"3290370000176";"";"DAMOISEAU RHUM BLANC AGRICOLE 35CL"
"AUCH_ACHA_104811092";"A0220180619000258665";"3290370006079";"";"ARRANGE 30° 70CL MANGUE-PASSION DAMOISEAU AVEC FRUITS"
"AUCH_ACHA_104811096";"A0220180703000291569";"3290370006055";"";"Arrangé 30° 70CL Ananas Vanille Damoiseau avec fruits"
"AUCH_ACHA_104899805";"A0220190313000086669";"8410261151243";"";"SANGRIA ROUGE"
"AUCH_ACHA_105542472";"A0220140304000838912";"3283770555254";"";"arrangé gingembre citron"
"AUCH_ACHA_105592633";"P02000000000KAE";"3172910021028";"Point vert;Femme enceinte";"HSE Arrangé Framboise, Passion & Hibiscus 32° 70cl"
"AUCH_ACHA_106136209";"A0220040224000082739";"3394215961483";"Femme enceinte;Point vert";"Pastis de Marseille"
"AUCH_ACHA_106139758";"A0220060802000365560";"3104760003855";"";"Crème de cassis de Dijon"
"AUCH_ACHA_106139919";"A0220060920000642949";"3596710309726";"Eurofeuille";"Cidre brut biologique gazéifié Fabrication certifiée par FR-BIO-10 Distribution certifiée par FR-BIO-01"
"AUCH_ACHA_106140002";"A0220061005000577794";"3012993028289";"";"Rhum traditionnel des Antilles Françaises"
"AUCH_ACHA_106143268";"A0220080610000598629";"3596710426218";"";"RIVESALTES AMBRE - APPELLATION RIVESALTES AMBREE PROTEGEE  VIN DOUX NATUREL"
"AUCH_ACHA_106145164";"A0220090420000682360";"3305108971007";"";"ALC   RHUM DES DOM"
"AUCH_ACHA_106148328";"A0220100413000535013";"3012993038080";"";"Rhum traditionnel des Antilles Françaises"
"AUCH_ACHA_106148324";"A0220100412000316589";"5010103927956";"";"KNOCKANDO 15 ANS RICHLY MATURED 43D 70CL ETUI STD"
"AUCH_ACHA_106149740";"A0220101025000452244";"5902738884530";"";"VODKA"
"AUCH_ACHA_106149844";"A0220101104000425699";"5010327105215";"";"Blended malt scotch Whisky  "
"AUCH_ACHA_106151375";"A0220110323000640049";"5901041003003";"";"BELVEDERE 40° 70 CL"
"AUCH_ACHA_106151717";"A0220110422000253703";"3018300004540";"";"LIQUEUR GRAND MARNIER"
"AUCH_ACHA_106155808";"A0220120312000991660";"7312040017355";"";"Vodka"
"AUCH_ACHA_106160599";"A0220130516000596758";"3012993045590";"";"Cachaça"
"AUCH_ACHA_106169081";"A0220141218000495924";"4904230034971";"";"NIKKA TAKETSURU 70cl 43%"
"AUCH_ACHA_106170701";"A0220150317000400405";"5000299609347";"";"Single malt scotch Whisky"
"AUCH_ACHA_106170817";"A0220150320000429824";"5902596700287";"";"DICTADOR 10 ANS 70CL 40%"
"AUCH_ACHA_106171476";"A0220150414000668140";"3147690070207";"";"Rhum traditionnel des départements français d'outre-mer"
"AUCH_ACHA_106175907";"A0220151019000664768";"3596710417698";"";"Boisson spiritueuse à base de rhum des Caraïbes (92,7%) et d'arômes naturels"
"AUCH_ACHA_106180987";"A0220160624000509344";"7401005008580";"Point vert;Femme enceinte";"Rhum vieux Solera 40% 23 ans"
"AUCH_ACHA_106182059";"A0220160811000251141";"8000570032007";"";"Vin mousseux - Extra sec"
"AUCH_ACHA_106184291";"A0220161102000518407";"3596710440504";"Alcool j'achète pas à moins de 18 ans;Appellation d'Origine Contrôlée;Point vert;Femme enceinte;Triman";"Rhum de la Martinique - Appellation d'origine contrôlée"
"AUCH_ACHA_106186039";"A0220170130000628099";"7594003626624";"";"Rhum Diplomatico Mantuano  70cl 40°"
"AUCH_ACHA_106187474";"A0220170308000853899";"4067700013859";"";"Liqueur Jägermeister 70 cl 35% "
