"cui";"Marque commerciale eCommerce";"Libellé Web";"Quantité vendue"
"A0220100413000652212";"LACTEL";"Lait demi-écrémé vitamine D";"9x1l"
"A0220100120000642782";"CHARLES & ALICE";"Spécialité pomme mirabelle sans sucres ajoutés";"4x100g"
"A0220090803000013741";"SVELTESSE";"Crème dessert ferme et fondante allégée au café";"4x125g"
"A0220090602000010485";"PETIT BASQUE";"Yaourt à la grecque bio nature";"2x150g"
"A0220090915000045881";"AUCHAN";"Pot de crème au caramel";"4x100g"
"A0220090415000242785";"AUCHAN";"Spécialité pomme poire sans sucres ajoutés";"4x100g"
"A0220090415000242852";"AUCHAN";"Purée de pomme et mangue sans sucre ajouté";"4x97g"
"A0220090415000242258";"AUCHAN";"Yaourt bifidus au citron";"4x125g"
"A0220090212000036973";"AUCHAN";"Fromage frais aux framboises";"500g"
"A0220090223000369507";"CANDIA";"Grandlait lait demi-écrémé UHT";"6x50cl"
"A0220090311000029153";"FERME COLLET";"Faisselle moulée à la louche 6%mg";"6x100g"
"A0220090319000048659";"TAILLEFINE";"Fromage blanc 0% MG nature";"850g"
"A0220081114000021707";"AUCHAN";"Crème fouettée entière sucrée à la vanille";"250g"
"A0220080718000022913";"AUCHAN";"Profiteroles fourrées nappées de sauce au chocolat";"4x90g"
"A0220080620000646305";"LACTEL";"Lait demi-écrémé stérilisé UHT avec vitamine D";"10x1l"
"A0220080409000018437";"SAVOIE YAOURT";"Yaourts brassés sur lit de fruits de saison";"6x125g"
"A0220071220000029997";"AUCHAN";"Yaourt au lait fermenté nautre au bifidus";"4x125g"
"A0220070808000383066";"LE PETIT BASQUE";"Yaourt de brebis nature ";"2x125g"
"A0220070410000035613";"ELLE & VIRE";"Crème fraîche épaisse légère 12%MG";"33cl"
"A0220070410000035748";"ELLE & VIRE";"Crème fraîche épaisse entière 30%MG";"33cl"
"A0220061018000384891";"DANONE";"Velouté Yaourt brassé nature";"16x125g"
"A0220060327000547356";"ALSACE LAIT";"Bibeleskaes fromage blanc sur lit de fraises";"4x125g"
"A0220060327000547366";"ALSACE LAIT";"Fromage blanc";"4x100g"
"A0220050322000302888";"ALSACE LAIT";"Lait crème UHT pour café";"10x10g"
"A0220041014000243234";"ELLE & VIRE";"Crème entière";"2x25cl"
"A0220040130000219911";"FROMAGERIE LE VENTOUX";"Faisselle au lait de chèvre";"4x125g"
"A0220000920000805808";"LA LAITIERE";"Clafoutis aux cerises";"4x85g"
"A0220031105000015884";"ISIGNY STE MERE";"Crème fouettée à la vanille de Madagascar UHT";"250g"
"A0220000801000803533";"LA FERMIERE";"Yaourt à la vanille";"2x140g"
"A0219980903000648942";"NESTLE";"Viennois mousse liégeoise au chocolat";"4x90g"
"A0220000525000642091";"AUCHAN";"Crème dessert au café";"4x125g"
"A0220011218000541497";"AUCHAN";"Lait entier des campagnes françaises";"1l"
"A0219980313000326558";"BRESSANE";"Crème fraîche fluide 30% MG ";"50cl"
"A0220010313000301129";"LACTEL";"Lait frais pasteurisé demi-écrémé";"1L"
"A0219980217000309052";"BRIDELICE";"Crème semi-épaisse légère 18%MG UHT";"2x25cl"
"A0220000428000370858";"CHARLES & ALICE";"Spécialité pomme sans sucres ajoutés";"4x100g"
"A0220001211000043523";"BASKALIA";"Yaourt nature au lait de brebis";"2x125g"
"A0219910417000027213";"ANDROS";"Spécialité de pomme à la vanille";"4x100g"
"A0219991005000043070";"LACTEL";"Lait écrémé bio UHT";"6x1l"
"A0219920512000036661";"AUCHAN";"Crème dessert à la vanille";"4x125g"
"A0219940414000014680";"PETITS FILOUS";"Dessert lacté au chocolat";"6x100g"
"A0219950614000042137";"LACTEL";"Lait demi-écrémé bio UHT";"6x1L"
"A0219940316000045283";"LACTEL";"Lait écrémé UHT";"1L"
"A0219861107000044613";"BRIDELICE";"Crème fraîche épaisse légère 15%MG";"20cl"
"A0220000407000018284";"MAMIE NOVA";"Yaourt brassé aux fruits panaché";"6x150g"
"A0219910820000013598";"ISIGNY STE MERE";"Crème fraîche de Normandie épaisse AOP";"40cl"
"A0219910606000049730";"DANONE";"Cottage cheese fromage frais";"2x200g"
"A0219950623000018801";"AUCHAN";"Lait demi-écrémé";"1l"
"A0220150115000802746";"DANETTE";"POP Crème dessert vanille billes 3 chocolats";"4x117g"
"A0220141202000801244";"LA TEURGOULE DE JANVILLE";"Riz au lait à la vanille";"750g"
"A0220100428000653230";"RIANS";"Faisselle";"6x100g"
"A0220070302000015006";"VRAI";"Yaourt bio à la vanille au lait de vache";"4x125g"
"A0220030807000049691";"AUCHAN BIO";"Lait demi-écrémé bio";"1l"
"A0220040914000242434";"LACTEL";"Matin léger Lait écrémé sans lactose UHT";"6x1L"
"A0219980602000642615";"LACTEL";"Lait demi-écrémé bio UHT";"6x50cl"
"A0219920512000036685";"AUCHAN";"Crème dessert au chocolat à la vanille et au caramel";"12x100g"
"A0219920512000036683";"AUCHAN";"Crème dessert au chocolat";"4x125g"
"A0219861107000044667";"CANDIA";"Grandlait lait demi-écrémé";"1,5L"
"A0219881206000033752";"LACTEL";"Lait fermenté Laban bouteille";"1l"
"A0220000713000801721";"AUCHAN";"Lait écrémé des campagnes françaises ";"1l"
"A0219940218000019264";"CANDIA";"Viva lait vitaminé UHT";"6x1L"
"A0219890427000037316";"CANDY'UP";"Boisson lactée chocolatée";"6x1L"
"P0200000000043F";"DANONINO";"Petits suisses aux fruits Fraise-Framboise-Abricot";"6x100g"
"P0200000000044C";"DANONE";"Yaourt nature";"16x125g"
"P020000000004B5";"AUCHAN";"Boisson végétale à base d'amande";"1L"
"P020000000004MQ";"SAVOIE YAOURT";"Yaourt au fruit de la passion passion";"500g"
"P020000000004PM";"PANIER DE YOPLAIT";"Panaché de yaourts sur lit de fruit";"6x140g"
"P020000000004QV";"LES 2 VACHES";"Crème dessert bio chocolat";"4x95g"
"P020000000004VM";"ACTIVIA";"Yaourt nature au bifidus";"16x125g"
