cui,CUG,GTIN d’encaissement,product_label,photo_id,media_url
A0220150618000479080,479080,3760224580784,REG ELISE ET FELICIE VINAIGREPULPE CITRON 25CL *LOC*,MEDIASTEP101391632,https://media.auchan.fr/MEDIASTEP101391632_0x0/
A0220070129000079423,79423,3265477928005,PUGET TAPENADE VERTE 90G,MEDIASTEP92859924,https://media.auchan.fr/MEDIASTEP92859924_0x0/
A0220210413000978727,978727,3563350020205,CG RELISSE 580G,MEDIASTEP136097515,https://media.auchan.fr/MEDIASTEP136097515_0x0/
A0220011205000076914,76914,3596710061709,POUCE BARRE CEREALIERE CHOCOLAT CACAHUETES x6 126G,MEDIASTEP91915760,https://media.auchan.fr/MEDIASTEP91915760_0x0/
P02000000000KZD,916112,3484700007960,LANCELOT BREIZH COLA SANSSUCRE 6X33CL,MEDIASTEP160262461,https://media.auchan.fr/MEDIASTEP160262461_0x0/
A0220091005000015757,15757,3490211000093,"F.ANCHIN SUPREME ASPERG 98,5CL",MEDIASTEP140545089,https://media.auchan.fr/MEDIASTEP140545089_0x0/
A0220090403000020084,20084,8005153000022,MONTORSI JBON PARME 70G,MEDIASTEP132329219,https://media.auchan.fr/MEDIASTEP132329219_0x0/
P02000000000EKV,329543,3596710449583,POUCE TABLETTES ANTICALCAIRE16X16G,MEDIASTEP103285416,https://media.auchan.fr/MEDIASTEP103285416_0x0/
A0219900101000064170,64170,3049580557013,WILLIAM SAURIN GRATIN DAUPHINOIS COEUR DE MARCHE 850G,MEDIASTEP84636728,https://media.auchan.fr/MEDIASTEP84636728_0x0/
P020000000019AV,320061,3760327710934,IDC MASQUE NOIR ENFANTS BOITEX50,MEDIASTEP160550829,https://media.auchan.fr/MEDIASTEP160550829_0x0/
A0220110810000804678,804678,3229820765297,TANOSHI RIZ SUSHI 450G,MEDIASTEP138435608,https://media.auchan.fr/MEDIASTEP138435608_0x0/
A0220150415000742881,742881,3166296203109,DUCROS ORIGAN PIZZA 10G,MEDIASTEP82553730,https://media.auchan.fr/MEDIASTEP82553730_0x0/
A0220170331000604153,604153,3384125011194,YOU NETTOYANT MULTI USAGESRECHARGE 12ML,MEDIASTEP138497953,https://media.auchan.fr/MEDIASTEP138497953_0x0/
A0220191126000300360,300360,3274664142162,OASIS BIO MANGUE PASSION X6,MEDIASTEP132237093,https://media.auchan.fr/MEDIASTEP132237093_0x0/
A0219990702000518383,518383,3392460483002,PELLETIER PAIN GRILLE CAMPAGNE24 TR 240G,MEDIASTEP78843980,https://media.auchan.fr/MEDIASTEP78843980_0x0/
A0220060413000611114,611114,3254566422890,PIERRE CHANAU 1ERE COTES DEBLAYE ROUGE 3L,MEDIASTEP57721829,https://media.auchan.fr/MEDIASTEP57721829_0x0/
P02000000000JFW,911406,7622201123659,BIOL LU NAPPE CHOCOLAT NOIR120G,MEDIASTEP89226728,https://media.auchan.fr/MEDIASTEP89226728_0x0/
A0220171026000559203,559203,3046920042888,LINDT CREATION AUTHENTIQUEPRALINE ROCHER LAIT 150G,MEDIASTEP135867717,https://media.auchan.fr/MEDIASTEP135867717_0x0/
A0220170612000014279,14279,3230890011320;3230890011320;3230890011320;3230890011320;3230890011320,DEC2 NOEL MINIROTI FORESTIER C,MEDIASTEP92859713,https://media.auchan.fr/MEDIASTEP92859713_0x0/
