Vins
Pates
Huiles et vinaigres
produits detergents
Aliments bebe
Conserves de poisson
Saucisses
Aerosols
Charcuterie
Sodas
produits machine a laver
Volaille prep
cafe
Conserves de legumes
"Accessoires (serpilleres, seaux, eponges)"
Farines
Laits bebe
chocolats
Semoules
Boulangerie Brioches 
Lentilles
Jus de fruits
fromages blancs
Volaille non prep
yaourts 
produits lave vaiselle
succedanes de viande
sex
viandes hachees
cosmetique
Boulangerie biscuits
Boissons vegetales
Conserves de fruits
Plats prepares
Epices et condiments bouillons
Autres matieres grasses
Alcools
Traiteur mer
Boulangerie gateaux
Biscuiterie
hygiene
chicorees
Fromages
Fruits secs
pharmaceutique
Riz
snacking
eaux aromatises
Conserves de viandes
Ble
Bieres
Cereales
frites et assimiles
glaces
pains brioches  biscuits  gateaux
eau
Beurres
compotes
infusions
Laits 
Legumes
the
soupes
sauces
Oeufs
patisseries
"bougies, couverts snacking..."
desserts
confiseries
combustibles
parfum
tartinables
Crustaces 
Fecules
Fumaison
